CSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, fastsim, central, 0, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.938929) : (0.962334)) : (x<50 ? 0.967994:0.976844)) : (x<80 ? (x<70 ? 0.97524:0.969315) : (x<100 ? 0.972695:0.973057))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.971672:0.995786) : (0.952996)) : (x<320 ? 1.01528:1.0092)) : (x<670 ? (x<500 ? 0.940714:1.18197) : (x<800 ? 0.959821:0)))" 
0, fastsim, central, 1, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.892894) : (0.930368)) : (x<50 ? 0.972929:0.949186)) : (x<80 ? (x<70 ? 1.0611:1.07519) : (x<100 ? 0.967775:0.954035))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 1.07096:1.30711) : (1.03434)) : (x<320 ? 1.11795:1.13766)) : (x<670 ? (x<500 ? 1.21179:1.3453) : (x<800 ? 1.18154:0)))" 
0, fastsim, central, 2, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.07218) : (1.0746)) : (x<50 ? 1.04199:1.09721)) : (x<80 ? (x<70 ? 1.12808:0.976496) : (x<100 ? 1.16006:1.22072))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 1.306:1.36342) : (1.6736)) : (x<320 ? 1.53292:1.73757)) : (x<670 ? (x<500 ? 1.73622:1.74237) : (x<800 ? 1.92846:0)))" 
0, fastsim, down, 0, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.930705) : (0.954009)) : (x<50 ? 0.958673:0.966151)) : (x<80 ? (x<70 ? 0.962786:0.954677) : (x<100 ? 0.959211:0.95335))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.948401:0.95172) : (0.883099)) : (x<320 ? 0.921924:0.903121)) : (x<670 ? (x<500 ? 0.821817:1.0115) : (x<800 ? 0.717755:0)))" 
0, fastsim, down, 1, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.841283) : (0.868207)) : (x<50 ? 0.893618:0.856501)) : (x<80 ? (x<70 ? 0.939697:0.941252) : (x<100 ? 0.867852:0.837159))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.960468:1.14592) : (0.879875)) : (x<320 ? 0.925458:0.92123)) : (x<670 ? (x<500 ? 0.920108:0.997221) : (x<800 ? 0.658607:0)))" 
0, fastsim, down, 2, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.01602) : (1.01399)) : (x<50 ? 0.970137:1.01311)) : (x<80 ? (x<70 ? 1.02996:0.881267) : (x<100 ? 1.07013:1.11393))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 1.21568:1.26994) : (1.53304)) : (x<320 ? 1.40069:1.57944)) : (x<670 ? (x<500 ? 1.56105:1.55546) : (x<800 ? 1.60822:0)))" 
0, fastsim, up, 0, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.947153) : (0.97066)) : (x<50 ? 0.977315:0.987537)) : (x<80 ? (x<70 ? 0.987694:0.983953) : (x<100 ? 0.98618:0.992764))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.994942:1.03985) : (1.02289)) : (x<320 ? 1.10863:1.11527)) : (x<670 ? (x<500 ? 1.05961:1.35244) : (x<800 ? 1.20189:0)))" 
0, fastsim, up, 1, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.944505) : (0.992528)) : (x<50 ? 1.05224:1.04187)) : (x<80 ? (x<70 ? 1.1825:1.20913) : (x<100 ? 1.0677:1.07091))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 1.18146:1.4683) : (1.1888)) : (x<320 ? 1.31044:1.35408)) : (x<670 ? (x<500 ? 1.50346:1.69338) : (x<800 ? 1.70447:0)))" 
0, fastsim, up, 2, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.12834) : (1.1352)) : (x<50 ? 1.11385:1.18131)) : (x<80 ? (x<70 ? 1.22621:1.07173) : (x<100 ? 1.24998:1.32751))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 1.39632:1.4569) : (1.81416)) : (x<320 ? 1.66515:1.8957)) : (x<670 ? (x<500 ? 1.91138:1.92928) : (x<800 ? 2.2487:0)))" 
1, fastsim, central, 0, -2.4, 2.4, 20, 800, 0, 1, "x<120 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.914582) : (0.943678)) : (x<50 ? 0.943273:0.953271)) : (x<80 ? (x<70 ? 0.944071:0.944119) : (x<100 ? 0.944138:0.941159))) : (x<400 ? (x<260 ? (x<210 ? (x<160 ? 0.929067:0.954589) : (0.906373)) : (x<320 ? 1.05691:0.899119)) : (x<670 ? (x<500 ? 0.797488:1.07735) : (x<800 ? 0.944602:0)))" 
