ctag;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.03856) : (1.06271)) : (x<50 ? 1.07791:1.08911)) : (x<100 ? (x<80 ? (x<70 ? 1.09765:1.11151) : (1.11258)) : (x<120 ? 1.13379:1.13301))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.12991:1.13761) : (1.13135)) : (x<400 ? 1.13507:1.121)) : (x<800 ? (x<670 ? 1.09243:1.06509) : (x<1000 ? 0.981657:0)))" 
0, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.972228) : (0.978363)) : (x<50 ? 0.982549:0.984845)) : (x<100 ? (x<80 ? (x<70 ? 0.985898:0.989243) : (0.990854)) : (x<120 ? 0.992164:0.988533))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.985396:0.983736) : (0.978364)) : (x<400 ? 0.954754:0.987793)) : (x<800 ? (x<670 ? 0.936425:0.856239) : (x<1000 ? 0.864799:0)))" 
0, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.957738) : (0.960783)) : (x<50 ? 0.963952:0.965552)) : (x<100 ? (x<80 ? (x<70 ? 0.965226:0.966062) : (0.963261)) : (x<120 ? 0.959577:0.951151))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.94326:0.94296) : (0.940262)) : (x<400 ? 0.945792:0.9575)) : (x<800 ? (x<670 ? 0.917326:0.89332) : (x<1000 ? 0.851946:0)))" 
0, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.03609) : (1.0602)) : (x<50 ? 1.07532:1.08638)) : (x<100 ? (x<80 ? (x<70 ? 1.0947:1.10826) : (1.10992)) : (x<120 ? 1.1304:1.12962))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.12481:1.1289) : (1.11848)) : (x<400 ? 1.11685:1.09466)) : (x<800 ? (x<670 ? 1.05926:1.00318) : (x<1000 ? 0.903625:0)))" 
0, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.969757) : (0.975744)) : (x<50 ? 0.979753:0.981806)) : (x<100 ? (x<80 ? (x<70 ? 0.982538:0.985487) : (0.9877)) : (x<120 ? 0.988139:0.98449))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.979345:0.973432) : (0.962997)) : (x<400 ? 0.934257:0.961169)) : (x<800 ? (x<670 ? 0.900064:0.770434) : (x<1000 ? 0.728093:0)))" 
0, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.95657) : (0.959504)) : (x<50 ? 0.962545:0.963983)) : (x<100 ? (x<80 ? (x<70 ? 0.963455:0.964054) : (0.961549)) : (x<120 ? 0.957368:0.948931))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.93999:0.937582) : (0.932584)) : (x<400 ? 0.935306:0.942935)) : (x<800 ? (x<670 ? 0.897908:0.851298) : (x<1000 ? 0.792788:0)))" 
0, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.04103) : (1.06522)) : (x<50 ? 1.0805:1.09185)) : (x<100 ? (x<80 ? (x<70 ? 1.1006:1.11476) : (1.11524)) : (x<120 ? 1.13718:1.1364))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.13501:1.14632) : (1.14423)) : (x<400 ? 1.1533:1.14734)) : (x<800 ? (x<670 ? 1.12561:1.12699) : (x<1000 ? 1.05969:0)))" 
0, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.974699) : (0.980981)) : (x<50 ? 0.985345:0.987885)) : (x<100 ? (x<80 ? (x<70 ? 0.989259:0.992999) : (0.994008)) : (x<120 ? 0.996188:0.992576))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.991446:0.994041) : (0.993731)) : (x<400 ? 0.975251:1.01442)) : (x<800 ? (x<670 ? 0.972785:0.942044) : (x<1000 ? 1.0015:0)))" 
0, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.958907) : (0.962062)) : (x<50 ? 0.965358:0.96712)) : (x<100 ? (x<80 ? (x<70 ? 0.966996:0.96807) : (0.964974)) : (x<120 ? 0.961786:0.953372))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.946529:0.948338) : (0.947941)) : (x<400 ? 0.956279:0.972064)) : (x<800 ? (x<670 ? 0.936745:0.935341) : (x<1000 ? 0.911104:0)))" 
1, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.984799) : (1.02806)) : (x<50 ? 1.06212:1.07686)) : (x<100 ? (x<80 ? (x<70 ? 1.09644:1.11305) : (1.12399)) : (x<120 ? 1.1537:1.14922))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.15397:1.15637) : (1.14115)) : (x<400 ? 1.17724:1.12822)) : (x<800 ? (x<670 ? 1.11935:0.994487) : (x<1000 ? 1.05946:0)))" 
